Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
takeFullPageScreenshot(),Firefox 138.0.4,,,20-05-2025 03:20:38,20-05-2025 03:20:40,2.575s,PASSED
,,,,,,,
Test Cases/User Flow/AdminPT/TC_CheckSubmission,Firefox 138.0.4,Reviews submission details as an institution administrator.,,20-05-2025 03:20:40,20-05-2025 03:21:17,36.755s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/span_Pengajuan Konversi""))",Firefox 138.0.4,,,20-05-2025 03:20:41,20-05-2025 03:20:47,5.876s,PASSED
"click(findTestObject(""Page_Report - Simikro/td_Teknik Informatika""))",Firefox 138.0.4,,,20-05-2025 03:20:47,20-05-2025 03:20:52,5.984s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/td_Eko Prasetyo""))",Firefox 138.0.4,,,20-05-2025 03:20:52,20-05-2025 03:20:57,4.671s,PASSED
takeFullPageScreenshot(),Firefox 138.0.4,,,20-05-2025 03:20:57,20-05-2025 03:21:00,3.242s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/a_Rincian""))",Firefox 138.0.4,,,20-05-2025 03:21:00,20-05-2025 03:21:05,4.547s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Report - Simikro/h2_Rincian        Laporan Akhir""))",Firefox 138.0.4,,,20-05-2025 03:21:05,20-05-2025 03:21:05,0.281s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/i_Berkas Laporan_fas fa-file-pdf""), 0)",Firefox 138.0.4,,,20-05-2025 03:21:05,20-05-2025 03:21:06,0.295s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Report - Simikro/i_Berkas Laporan_fas fa-file-pdf""), STOP_ON_FAILURE)",Firefox 138.0.4,,,20-05-2025 03:21:06,20-05-2025 03:21:06,0.307s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/i_Berkas Sertifikat_fas fa-file-pdf""), 0)",Firefox 138.0.4,,,20-05-2025 03:21:06,20-05-2025 03:21:06,0.330s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Report - Simikro/i_Berkas Sertifikat_fas fa-file-pdf""), STOP_ON_FAILURE)",Firefox 138.0.4,,,20-05-2025 03:21:06,20-05-2025 03:21:06,0.287s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/i_Berkas Dokumentasi_fas fa-file-pdf""), 0)",Firefox 138.0.4,,,20-05-2025 03:21:06,20-05-2025 03:21:07,0.301s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Report - Simikro/i_Berkas Dokumentasi_fas fa-file-pdf""), STOP_ON_FAILURE)",Firefox 138.0.4,,,20-05-2025 03:21:07,20-05-2025 03:21:07,0.315s,PASSED
"scrollToElement(findTestObject(""Page_Report - Simikro/a_Back""), 0)",Firefox 138.0.4,,,20-05-2025 03:21:07,20-05-2025 03:21:07,0.303s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/a_Back""))",Firefox 138.0.4,,,20-05-2025 03:21:07,20-05-2025 03:21:14,6.374s,PASSED
"navigateToUrl(""http://127.0.0.1:8000/dashboard"")",Firefox 138.0.4,,,20-05-2025 03:21:14,20-05-2025 03:21:17,3.422s,PASSED
,,,,,,,
Test Cases/Common/TC_Logout,Firefox 138.0.4,Logs out the current user session.,,20-05-2025 03:21:17,20-05-2025 03:21:29,11.998s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/img_Simikro_profile-image rounded-circle""))",Firefox 138.0.4,,,20-05-2025 03:21:18,20-05-2025 03:21:18,0.592s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/button_Keluar""))",Firefox 138.0.4,,,20-05-2025 03:21:18,20-05-2025 03:21:19,0.501s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/button_Ya""))",Firefox 138.0.4,,,20-05-2025 03:21:19,20-05-2025 03:21:24,4.850s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Firefox 138.0.4,,,20-05-2025 03:21:24,20-05-2025 03:21:25,1.361s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Firefox 138.0.4,,,20-05-2025 03:21:25,20-05-2025 03:21:26,0.854s,PASSED
closeBrowser(),Firefox 138.0.4,,,20-05-2025 03:21:26,20-05-2025 03:21:29,3.503s,PASSED
,,,,,,,
Test Cases/Common/Login/TC_LoginProdi,Firefox 138.0.4,Logs in as a study program representative.,,20-05-2025 03:21:29,20-05-2025 03:22:08,38.884s,PASSED
"DATA BINDING - {""(Default) Role"":""Prodi"",""(Default) Email"":""dosen@example.com"",""(Default) Passw..."":""8SQVv/p9jVScEs4/2CZsLw\u003d\u003d""}",,,,,,,
"openBrowser("""")",Firefox 138.0.4,,,20-05-2025 03:21:29,20-05-2025 03:21:38,8.744s,PASSED
navigateToUrl(URL_Test_Env),Firefox 138.0.4,,,20-05-2025 03:21:38,20-05-2025 03:21:43,5.270s,PASSED
