Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"scrollToElement(findTestObject(""Object Repository/Page_report - Simikro/button_Save""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:38,20-05-2025 03:20:39,0.332s,PASSED
"click(findTestObject(""Object Repository/Page_report - Simikro/button_Save""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:39,20-05-2025 03:20:47,7.847s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Report - Simikro/span_MENUNGGU PENILAIAN""), ""MENUNGGU PENILAIAN"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:47,20-05-2025 03:20:47,0.560s,PASSED
takeFullPageScreenshot(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:47,20-05-2025 03:20:49,1.352s,PASSED
,,,,,,,
Test Cases/User Flow/AdminPT/TC_CheckSubmission,Edge Chromium 136.0.3240.76,Reviews submission details as an institution administrator.,,20-05-2025 03:20:49,20-05-2025 03:21:26,37.626s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/span_Pengajuan Konversi""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:49,20-05-2025 03:20:57,8.066s,PASSED
"click(findTestObject(""Page_Report - Simikro/td_Teknik Informatika""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:20:57,20-05-2025 03:21:01,3.903s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/td_Eko Prasetyo""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:01,20-05-2025 03:21:07,6.000s,PASSED
takeFullPageScreenshot(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:07,20-05-2025 03:21:08,1.428s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/a_Rincian""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:08,20-05-2025 03:21:14,5.906s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Report - Simikro/h2_Rincian        Laporan Akhir""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:14,20-05-2025 03:21:15,0.541s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/i_Berkas Laporan_fas fa-file-pdf""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:15,20-05-2025 03:21:15,0.380s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Report - Simikro/i_Berkas Laporan_fas fa-file-pdf""), STOP_ON_FAILURE)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:15,20-05-2025 03:21:16,0.555s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/i_Berkas Sertifikat_fas fa-file-pdf""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:16,20-05-2025 03:21:16,0.311s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Report - Simikro/i_Berkas Sertifikat_fas fa-file-pdf""), STOP_ON_FAILURE)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:16,20-05-2025 03:21:17,1.042s,PASSED
"scrollToElement(findTestObject(""Object Repository/Page_Report - Simikro/i_Berkas Dokumentasi_fas fa-file-pdf""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:17,20-05-2025 03:21:18,0.692s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_Report - Simikro/i_Berkas Dokumentasi_fas fa-file-pdf""), STOP_ON_FAILURE)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:18,20-05-2025 03:21:18,0.360s,PASSED
"scrollToElement(findTestObject(""Page_Report - Simikro/a_Back""), 0)",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:18,20-05-2025 03:21:18,0.310s,PASSED
"click(findTestObject(""Object Repository/Page_Report - Simikro/a_Back""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:18,20-05-2025 03:21:24,5.455s,PASSED
"navigateToUrl(""http://127.0.0.1:8000/dashboard"")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:24,20-05-2025 03:21:26,2.361s,PASSED
,,,,,,,
Test Cases/Common/TC_Logout,Edge Chromium 136.0.3240.76,Logs out the current user session.,,20-05-2025 03:21:26,20-05-2025 03:21:36,9.981s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/img_Simikro_profile-image rounded-circle""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:26,20-05-2025 03:21:27,0.608s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/button_Keluar""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:27,20-05-2025 03:21:28,0.861s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - Simikro/button_Ya""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:28,20-05-2025 03:21:32,3.841s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:32,20-05-2025 03:21:33,1.794s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:33,20-05-2025 03:21:35,1.231s,PASSED
closeBrowser(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:35,20-05-2025 03:21:36,1.538s,PASSED
,,,,,,,
Test Cases/Common/Login/TC_LoginProdi,Edge Chromium 136.0.3240.76,Logs in as a study program representative.,,20-05-2025 03:21:36,20-05-2025 03:22:19,42.780s,PASSED
"DATA BINDING - {""(Default) Role"":""Prodi"",""(Default) Email"":""dosen@example.com"",""(Default) Passw..."":""8SQVv/p9jVScEs4/2CZsLw\u003d\u003d""}",,,,,,,
"openBrowser("""")",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:37,20-05-2025 03:21:45,8.255s,PASSED
navigateToUrl(URL_Test_Env),Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:45,20-05-2025 03:21:48,3.326s,PASSED
maximizeWindow(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:48,20-05-2025 03:21:52,3.888s,PASSED
pageVerification.GoToWelcome.verifyWelcomePageIsDisplayed(),Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:52,20-05-2025 03:21:54,1.733s,PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:54,20-05-2025 03:21:56,1.773s,PASSED
"click(findTestObject(""Object Repository/Page_Welcome - Simikro/a_Login""))",Edge Chromium 136.0.3240.76,,,20-05-2025 03:21:56,20-05-2025 03:22:01,5.457s,PASSED
